Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Age,Position,Value,Predicted_value,Difference
 Sloan Privat                    ,14,13,15,13,13,11,14,15,9,13,13,14,13,10,11,15,14,6,13,7,12,12, 4   , 7   , 11  , 14  ,12,11, 16  , 13  , 5   , 5   , 10  ,15, 4   ,12,21, ST                  ,3.7,10.281933,6.5819323539733885
 Antonio-Mirko Colak     ,9,8,9,12,10,8,10,12,7,8,10,7,6,8,6,10,8,8,9,7,8,6, 5   , 5   , 9   , 10  ,9,7, 11  , 8   , 3   , 3   , 8   ,10, 3   ,10,17, ST                          ,0.018,0.6232238,0.6052237815856933
 Luca Spina                   ,7,9,5,1,11,11,7,3,4,6,4,5,10,3,7,10,6,1,1,8,11,11, 4   , 2   , 9   , 9   ,9,7, 11  , 5   , 1   , 1   , 5   ,4, 3   ,7,15, ST                     ,0.022000000000000002,0.10338545,0.08138544845581054
 Ciro Favetta                ,12,9,7,7,14,11,7,2,3,3,3,12,4,3,3,8,15,10,5,2,12,12, 3   , 7   , 12  , 12  ,11,5, 10  , 4   , 2   , 5   , 12  ,3, 7   ,6,16, ST                    ,0.375,0.40204287,0.027042865753173842
 Lukas Zima                   ,12,16,12,13,14,8,3,3,12,5,9,4,13,2,7,6,2,7,3,12,2,2, 2   , 3   , 7   , 12  ,10,2, 11  , 9   , 2   , 4   , 6   ,6, 3   ,7,17, ST                     ,0.045,0.32336235,0.2783623504638672
 Tarmo Kink           ,14,14,7,11,18,13,11,6,8,9,4,12,7,11,7,11,10,5,14,5,6,9, 9   , 8   , 14  , 11  ,10,12, 5   , 18  , 2   , 3   , 10  ,12, 7   ,13,25," AM (RL), ST            ",1.7999999999999998,1.9588637,0.15886373519897468
 Sylvan Ebanks-Blake   ,15,10,12,11,15,15,12,16,13,13,12,13,11,8,11,13,13,4,13,6,13,15, 4   , 10  , 12  , 14  ,13,5, 10  , 12  , 2   , 5   , 11  ,17, 4   ,13,25, ST                       ,5.25,13.847359,8.597358226776123
 J¢an S¡mun Edmundsson ,11,11,14,11,13,14,12,8,5,8,10,11,11,9,7,11,10,5,9,4,13,9, 6   , 6   , 9   , 10  ,9,9, 10  , 9   , 5   , 5   , 10  ,9, 6   ,9,19," AM (C), ST               ",1.0,1.9909358,0.9909358024597168
 Simone Farelli               ,10,10,10,12,14,11,10,12,12,12,10,9,9,9,9,12,10,9,11,9,11,8, 6   , 10  , 10  , 12  ,10,7, 10  , 12  , 7   , 4   , 9   ,11, 8   ,10,22, ST                     ,0.925,2.565415,1.6404149055480957
 Scott McDonald       ,13,15,12,7,10,12,14,10,9,14,8,13,12,11,12,14,7,4,14,8,12,12, 11  , 12  , 9   , 14  ,14,10, 11  , 8   , 9   , 4   , 11  ,13, 6   ,13,27, ST                     ,3.2,9.889605,6.6896050453186024
 Kieron Cadogan       ,12,9,7,10,10,14,10,8,11,10,12,8,5,10,7,16,12,3,8,8,11,11, 1   , 7   , 12  , 9   ,12,3, 5   , 8   , 3   , 2   , 7   ,10, 5   ,9,20," M/AM (RL), ST          ",1.0,2.1415544,1.141554355621338
 Jack Simmons         ,12,11,11,2,12,12,5,4,7,4,8,5,2,5,1,7,8,4,6,5,8,8, 2   , 3   , 6   , 10  ,6,4, 10  , 7   , 1   , 2   , 3   ,1, 1   ,8,16, ST                     ,0.007,0.07697821,0.06997820663452148
 Guly do Prado        ,14,14,10,14,10,14,9,10,13,9,13,10,9,13,10,12,12,6,10,8,13,12, 13  , 15  , 14  , 13  ,11,15, 13  , 15  , 7   , 7   , 14  ,15, 7   ,13,29," M (R), AM (RC), ST     ",0.8250000000000001,9.243238,8.418237972259522
 Mike Knnecke           ,12,12,12,7,15,10,9,9,13,12,14,10,11,11,12,9,10,7,11,7,13,12, 6   , 8   , 10  , 11  ,11,7, 8   , 7   , 6   , 6   , 10  ,7, 7   ,11,22," AM (RC), ST                 ",0.325,1.8099165,1.4849164962768555
 Jordan Cook           ,13,11,10,5,12,13,10,5,8,11,6,11,9,11,10,10,12,2,11,9,5,9, 11  , 9   , 12  , 12  ,10,9, 3   , 8   , 3   , 4   , 9   ,10, 5   ,12,21," AM (RL), ST              ",1.3,1.1964321,-0.1035678863525391
 Alexandre Huot                  ,13,12,8,4,12,11,7,3,8,6,1,6,8,7,4,7,11,3,11,6,9,10, 8   , 9   , 10  , 10  ,12,4, 7   , 11  , 7   , 4   , 8   ,2, 4   ,7,18," AM (RC), ST         ",0.05499999999999999,0.33771992,0.2827199172973633
 Marko Mitrovic        ,11,7,8,11,13,10,9,12,10,8,13,11,11,6,8,10,8,5,13,11,13,13, 7   , 4   , 5   , 12  ,8,4, 10  , 4   , 1   , 5   , 7   ,15, 5   ,8,19, ST                       ,0.55,0.8010888,0.251088809967041
 Pablo Moreno            ,12,11,4,4,9,10,6,3,5,4,7,6,2,8,4,10,18,3,9,1,3,5, 10  , 8   , 13  , 6   ,11,8, 2   , 9   , 2   , 1   , 8   ,7, 2   ,12,18," AM (RL), ST                ",0.35000000000000003,0.31454563,-0.03545436859130863
 Zlatan Ibrahimovic           ,12,13,19,16,17,15,15,18,16,15,15,13,8,16,14,7,19,17,18,6,5,10, 6   , 14  , 16  , 18  ,17,14, 14  , 16  , 16  , 4   , 17  ,18, 6   ,19,29, ST                     ,30.0,59.73989,29.739890098571777
 Carlton Cole         ,14,12,13,15,17,14,16,16,10,13,11,14,11,11,12,16,12,6,11,9,13,8, 3   , 11  , 12  , 12  ,15,5, 13  , 12  , 4   , 9   , 12  ,10, 8   ,14,27, ST                     ,6.0,17.572987,11.572987079620361
 Sebastian Freis           ,14,12,12,11,14,15,16,14,13,13,16,11,12,13,12,10,12,11,14,9,16,18, 8   , 9   , 9   , 11  ,9,6, 15  , 12  , 6   , 9   , 12  ,14, 9   ,9,26," AM (R), ST                         ",2.9,6.161289,3.2612892150878907
 Marco Stiepermann       ,11,9,12,13,13,13,14,11,8,9,9,8,11,11,11,10,10,9,14,5,13,14, 8   , 12  , 13  , 11  ,12,8, 7   , 9   , 6   , 5   , 11  ,8, 6   ,13,20," M (RL), AM (RLC), ST        ",3.5,4.758463,1.2584629058837893
 Chris Homburg             ,12,12,12,8,11,12,5,3,3,4,3,8,9,2,4,9,11,3,9,2,6,9, 8   , 6   , 9   , 12  ,11,8, 12  , 4   , 4   , 1   , 6   ,1, 5   ,7,16, ST                                 ,0.18,0.43089628,0.25089628219604493
 Giancarlo Varvelli          ,12,10,9,6,13,10,4,6,12,7,3,8,3,8,7,8,9,13,7,4,6,9, 7   , 4   , 11  , 12  ,10,4, 12  , 6   , 2   , 3   , 8   ,2, 3   ,6,19, ST                    ,0.005,0.30852556,0.30352556228637695
 Srdjan Lakic              ,12,13,10,16,12,14,15,13,11,17,16,14,15,8,12,14,7,14,15,9,14,13, 4   , 7   , 8   , 13  ,9,12, 18  , 10  , 4   , 5   , 9   ,13, 6   ,11,27, ST                                 ,4.6000000000000005,11.475876,6.87587537765503
 Vedad Ibisevic            ,16,15,9,15,11,12,13,12,8,17,12,16,14,12,16,14,11,13,18,5,14,9, 6   , 8   , 11  , 14  ,11,10, 16  , 7   , 3   , 3   , 10  ,15, 5   ,13,26, ST                                 ,6.5,22.213684,15.713683128356934
 Matteo Felicioni            ,11,11,11,7,12,11,6,5,10,6,3,7,8,2,4,8,16,3,8,2,11,10, 6   , 2   , 6   , 11  ,7,5, 9   , 10  , 1   , 2   , 6   ,1, 2   ,5,20, ST                    ,0.005999999999999999,0.07205486,0.06605486297607421
 Tufan Tosunoglu         ,10,13,8,9,10,12,9,11,12,13,14,10,12,14,12,9,13,14,14,7,17,12, 9   , 12  , 13  , 13  ,12,6, 14  , 14  , 6   , 10  , 12  ,10, 13  ,13,22," AM (C), ST                  ",0.3,13.225012,12.925011825561523
 Laso Swaray                     ,13,12,11,8,15,12,8,8,11,5,10,6,4,12,7,10,13,5,9,3,16,13, 7   , 6   , 9   , 9   ,11,6, 6   , 11  , 2   , 1   , 7   ,7, 3   ,13,16, ST                  ,1.1,1.3002348,0.2002347946166992
 Kevin Volland           ,15,14,12,10,11,14,13,11,10,10,11,12,10,9,11,16,12,6,14,6,11,8, 6   , 11  , 12  , 13  ,14,5, 13  , 6   , 3   , 4   , 11  ,9, 5   ,15,18," AM (RL), ST                 ",4.9,18.279858,13.379857635498047
 Hugo Campagnaro              ,14,15,11,12,12,13,11,16,17,16,20,12,13,12,14,12,8,14,14,14,16,15, 10  , 11  , 13  , 14  ,14,9, 16  , 11  , 6   , 8   , 13  ,13, 11  ,13,23, ST                     ,3.1,40.19913,37.099131965637206
 Gianmarco Vannucchi          ,8,12,13,9,15,8,6,3,12,3,11,4,3,2,3,9,2,2,3,3,2,3, 4   , 2   , 7   , 8   ,10,8, 11  , 2   , 1   , 1   , 6   ,4, 2   ,7,18, ST                     ,0.045,0.08994341,0.044943408966064455
 Chris Long            ,12,10,9,9,14,12,5,2,11,6,4,4,3,6,6,9,13,5,9,5,8,10, 4   , 3   , 8   , 6   ,10,2, 9   , 5   , 1   , 2   , 8   ,5, 2   ,6,16, ST                       ,0.085,0.09107828,0.0060782814025878845
 Adam Thomas           ,9,7,7,13,12,9,9,4,8,8,5,7,9,6,6,9,15,6,11,3,11,13, 7   , 11  , 8   , 9   ,11,9, 7   , 4   , 3   , 4   , 5   ,4, 6   ,7,17," AM (RL), ST              ",0.075,0.25892973,0.1839297294616699
 Daniele Curto                ,13,8,9,8,10,12,7,3,14,5,14,8,8,5,6,10,12,7,1,6,11,11, 5   , 3   , 10  , 11  ,10,9, 13  , 6   , 1   , 1   , 4   ,9, 2   ,6,18, ST                     ,0.10999999999999999,0.63224554,0.5222455406188965
 Toni Vastic               ,13,11,9,8,14,11,7,7,11,7,13,7,6,8,7,9,10,4,8,6,15,14, 6   , 7   , 9   , 10  ,13,7, 8   , 9   , 4   , 4   , 10  ,10, 5   ,13,18, ST                                 ,0.525,1.5834522,1.0584522247314454
 Ranisav Jovanovic       ,11,11,13,16,14,12,11,12,13,11,13,10,12,8,11,11,9,11,13,10,10,9, 8   , 8   , 11  , 9   ,12,7, 13  , 10  , 8   , 7   , 10  ,8, 6   ,11,30, ST                          ,0.15,1.762805,1.6128049850463866
 Simon Zoller            ,13,13,11,10,12,13,11,9,6,10,8,11,11,11,8,10,12,9,13,5,9,9, 6   , 6   , 12  , 12  ,13,9, 8   , 12  , 2   , 3   , 8   ,12, 3   ,13,19, ST                          ,1.6,7.569599,5.969599151611328
 Andy Delort                     ,13,11,14,12,14,11,13,14,11,10,13,11,11,8,9,14,13,5,12,7,5,12, 6   , 6   , 12  , 11  ,12,8, 14  , 12  , 5   , 4   , 9   ,10, 2   ,12,19, ST                  ,2.6,2.8254676,0.2254675865173339
 Jos Antonio Reyes      ,14,16,11,8,11,15,13,9,8,13,15,12,9,16,12,15,16,13,15,10,9,10, 15  , 16  , 16  , 13  ,15,15, 8   , 15  , 9   , 7   , 16  ,14, 8   ,17,27," AM (RLC), ST               ",14.25,48.2434,33.993398666381836
 Carlos Aranda           ,11,10,18,14,12,12,14,18,9,12,16,11,9,10,12,13,9,11,13,11,15,15, 5   , 7   , 11  , 14  ,12,8, 16  , 13  , 6   , 4   , 11  ,16, 8   ,12,30, ST                         ,1.9,5.5987263,3.698726272583008
 Luis Garc¡a             ,15,13,12,10,11,14,11,10,15,11,14,12,12,13,13,16,15,13,15,8,16,14, 13  , 14  , 15  , 13  ,12,15, 11  , 14  , 9   , 6   , 12  ,19, 6   ,15,30," AM (C), ST                 ",5.25,28.04171,22.79171085357666
 Adi                     ,11,12,10,11,7,11,10,10,8,10,10,9,11,10,8,7,12,7,11,11,11,13, 8   , 7   , 12  , 10  ,11,8, 10  , 10  , 8   , 4   , 10  ,9, 7   ,11,25, ST                          ,0.05499999999999999,1.1699319,1.114931888580322
 Marcus Berg               ,12,14,8,12,10,12,13,11,8,19,13,17,16,10,18,9,7,7,18,6,10,9, 5   , 7   , 9   , 16  ,8,7, 14  , 12  , 3   , 4   , 7   ,17, 5   ,8,24, ST                                 ,5.0,5.5820775,0.5820775032043457
 Giuseppe Rossi          ,16,17,11,8,12,13,13,9,8,16,9,18,12,17,15,16,18,10,18,8,11,10, 15  , 14  , 17  , 16  ,18,14, 10  , 15  , 6   , 5   , 16  ,18, 8   ,19,24," AM (C), ST                 ",30.5,61.791267,31.29126739501953
 Fabian Himcinschi           ,11,8,10,14,11,11,8,7,8,8,8,9,9,7,7,14,8,3,8,5,8,10, 2   , 3   , 10  , 11  ,10,3, 12  , 7   , 1   , 4   , 8   ,7, 4   ,10,17, ST                    ,1.6,1.0143995,-0.5856004714965821
 Jos Paolo Guerrero       ,10,15,19,13,8,14,12,11,14,17,13,8,6,16,15,9,13,5,15,7,10,9, 9   , 14  , 15  , 12  ,19,9, 16  , 11  , 5   , 6   , 15  ,13, 9   ,18,27," AM (C), ST                         ",13.0,53.301395,40.30139636993408
 Ireneusz Jelen                  ,17,14,15,12,10,16,13,15,10,13,12,16,14,11,14,14,13,8,13,15,12,12, 5   , 10  , 13  , 14  ,12,8, 11  , 14  , 5   , 3   , 9   ,10, 3   ,12,30, ST                  ,4.6000000000000005,13.501015,8.901014709472657
 Erich Berko               ,13,9,10,9,10,11,8,11,9,5,9,5,5,9,5,10,15,3,9,3,7,14, 6   , 8   , 9   , 8   ,9,6, 8   , 8   , 3   , 3   , 9   ,6, 3   ,11,16," AM (RL), ST                        ",1.4000000000000001,0.5515146,-0.8484853744506837
 Akwasi Asante        ,13,10,8,6,12,14,11,10,10,7,11,9,8,9,9,10,8,6,9,8,11,12, 5   , 7   , 10  , 12  ,12,7, 9   , 7   , 6   , 4   , 8   ,10, 4   ,8,18, ST                     ,1.6,2.9969501,1.3969501495361327
 Nick Barmby          ,11,11,11,9,14,8,10,11,15,13,11,15,11,14,14,15,12,14,15,8,14,12, 7   , 10  , 8   , 11  ,13,10, 16  , 7   , 1   , 6   , 13  ,14, 12  ,13,37," AM (RLC), ST           ",0.10999999999999999,1.9233751,1.813375129699707
 Pascal Nimptsch           ,13,9,5,8,10,11,7,4,12,7,2,6,8,4,4,7,11,6,9,6,8,11, 9   , 5   , 10  , 11  ,9,7, 13  , 7   , 2   , 4   , 8   ,6, 3   ,12,18, ST                                 ,0.2,0.24485826,0.0448582649230957
 Marius Duhnke             ,12,10,10,11,15,10,5,7,8,7,6,6,8,7,9,10,14,5,9,5,7,10, 8   , 4   , 12  , 11  ,10,8, 12  , 12  , 1   , 5   , 11  ,8, 1   ,5,17, ST                                 ,0.275,0.4120612,0.1370612144470215
 Yago Del Piero               ,11,12,6,6,11,10,9,6,9,8,6,9,8,13,9,13,13,6,10,5,7,5, 5   , 3   , 12  , 12  ,12,8, 11  , 8   , 1   , 1   , 5   ,5, 1   ,9,16, ST                     ,0.10999999999999999,1.5980816,1.488081588745117
 Charles                 ,13,13,11,8,13,14,12,10,7,10,13,10,13,13,11,14,13,11,13,13,14,12, 9   , 13  , 14  , 14  ,13,10, 11  , 10  , 7   , 4   , 14  ,10, 5   ,13,27," M (R), AM (RC), ST  ",1.9,17.297518,15.397518253326417
 Adil Chihi                ,16,17,14,11,6,15,11,11,8,10,8,8,9,14,7,9,14,6,13,6,7,6, 7   , 12  , 15  , 10  ,14,9, 8   , 11  , 8   , 5   , 14  ,10, 5   ,16,23," AM (L), ST                         ",3.2,24.858114,21.65811471939087
 Davide Mangerini             ,5,8,8,7,11,6,1,3,12,4,11,3,11,1,6,9,2,1,1,5,1,2, 3   , 6   , 9   , 9   ,7,5, 10  , 5   , 2   , 1   , 5   ,7, 3   ,6,18," AM (C), ST             ",0.08,0.0597167,-0.020283298492431642
 Marcel Gaus             ,14,11,10,12,14,12,10,5,9,14,5,11,12,9,12,10,11,11,14,10,8,13, 12  , 14  , 11  , 12  ,14,8, 12  , 8   , 2   , 8   , 11  ,10, 5   ,10,21," AM (L), ST                  ",0.35000000000000003,5.212946,4.862945938110351
 Razvan Milicic              ,9,9,7,4,15,10,5,11,12,5,2,12,2,4,5,8,12,1,12,3,6,9, 3   , 6   , 12  , 9   ,12,6, 10  , 6   , 5   , 5   , 6   ,8, 3   ,11,17, ST                    ,0.011999999999999999,0.6297326,0.617732608795166
 Somen Tchoyi          ,14,12,14,12,12,13,12,14,7,9,7,12,6,12,11,12,16,8,13,7,9,10, 6   , 13  , 16  , 10  ,14,7, 7   , 10  , 1   , 5   , 12  ,4, 6   ,15,28," M (RL), AM (RLC), ST     ",4.0,5.2154636,1.2154636383056638
 Mario G¢mez               ,15,10,13,15,15,17,15,17,13,16,17,14,19,8,10,16,8,11,18,8,7,13, 5   , 9   , 11  , 18  ,8,7, 15  , 12  , 5   , 4   , 8   ,13, 7   ,9,25, ST                                 ,19.75,39.791454,20.041452884674072
 Anthony Le Tallec               ,13,12,15,13,14,12,15,12,8,14,13,13,13,11,10,15,14,10,14,8,13,12, 8   , 10  , 12  , 11  ,12,14, 16  , 13  , 5   , 6   , 12  ,15, 4   ,12,26," AM (C), ST          ",3.2,11.04129,7.841290760040282
 Tobi Alabi           ,9,10,8,5,15,10,6,8,12,7,3,10,6,4,9,8,16,4,9,5,14,10, 4   , 2   , 5   , 9   ,7,2, 11  , 2   , 2   , 1   , 4   ,8, 1   ,4,17, ST                     ,0.007,0.09827852,0.09127852249145509
 Massimo Maccarone           ,14,13,12,11,11,13,12,13,14,12,13,10,9,11,11,9,13,13,15,9,13,15, 9   , 12  , 12  , 13  ,11,13, 12  , 14  , 9   , 8   , 10  ,14, 9   ,13,31, ST                    ,2.2,7.606399,5.406399059295655
 Lorenzo Fiorini             ,9,9,8,9,7,8,9,9,8,8,7,8,8,8,8,2,9,8,8,7,7,8, 8   , 7   , 8   , 7   ,8,8, 7   , 8   , 8   , 2   , 6   ,8, 4   ,7,17," AM (C), ST            ",0.005999999999999999,0.25271416,0.24671415710449218
 Cdric Bakambu                  ,17,14,13,11,15,15,12,11,8,11,11,12,11,7,9,14,12,5,13,6,8,11, 4   , 7   , 13  , 12  ,11,8, 12  , 11  , 5   , 3   , 8   ,14, 2   ,13,20, ST                  ,2.7,7.2358775,4.535877513885498
 Ruud van Nistelrooy     ,9,12,17,14,12,9,11,14,8,20,14,20,20,12,20,19,12,15,19,5,6,7, 5   , 9   , 13  , 20  ,18,11, 14  , 12  , 3   , 3   , 14  ,19, 5   ,17,35, ST                         ,3.9000000000000004,23.363066,19.46306571960449
 Javier Hern ndez      ,18,16,14,13,15,17,14,8,10,14,12,14,14,8,12,17,14,8,18,7,11,15, 5   , 9   , 11  , 16  ,12,7, 16  , 10  , 6   , 3   , 11  ,14, 5   ,13,23, ST                       ,15.75,34.498108,18.748107433319092
 Daniel Ciofani              ,14,11,10,13,12,11,9,11,15,5,10,13,11,9,12,13,15,8,9,10,10,9, 9   , 10  , 11  , 16  ,8,9, 10  , 8   , 5   , 3   , 8   ,18, 10  ,10,25, ST                    ,0.8999999999999999,1.534977,0.6349769592285157
 Benja                   ,11,9,15,12,11,13,14,14,9,10,15,11,13,8,10,12,9,11,13,7,15,17, 7   , 9   , 11  , 10  ,9,7, 13  , 11  , 6   , 6   , 9   ,11, 6   ,9,23, ST                  ,0.475,3.8702154,3.39521541595459
 Federico Duranti            ,7,9,7,6,13,10,8,5,12,3,4,13,4,5,7,8,8,7,13,6,16,12, 9   , 6   , 11  , 11  ,7,6, 11  , 6   , 2   , 2   , 7   ,3, 2   ,9,19, ST                    ,0.005,0.104949474,0.09994947433471679
 Gast¢n Sangoy           ,13,12,10,11,12,13,12,12,17,13,15,13,12,12,12,16,15,14,17,7,13,12, 13  , 10  , 14  , 13  ,12,18, 14  , 14  , 7   , 6   , 13  ,12, 7   ,13,26," AM (RC), ST                ",2.6,16.081636,13.48163595199585
 Edinho                  ,13,12,15,13,16,12,13,16,12,12,13,14,11,11,9,14,10,8,14,8,8,11, 10  , 10  , 11  , 12  ,10,11, 14  , 12  , 11  , 8   , 10  ,12, 10  ,11,28, ST                         ,2.0,3.9714527,1.9714527130126953
 Riccardo Fiamozzi           ,9,11,11,6,11,12,5,4,7,8,3,12,4,4,7,8,9,5,11,5,8,10, 7   , 6   , 10  , 12  ,12,8, 10  , 6   , 2   , 6   , 2   ,2, 2   ,10,18, ST                    ,0.005,0.66646576,0.6614657592773437
 Silvio                  ,13,12,12,12,10,11,11,13,8,13,11,12,11,12,12,12,9,8,12,12,12,14, 5   , 9   , 13  , 15  ,11,5, 11  , 12  , 5   , 7   , 12  ,11, 10  ,14,26," AM (C), ST                  ",0.8250000000000001,3.8221717,2.997171688079834
 Romelu Lukaku         ,13,8,16,14,18,15,10,18,7,12,14,18,14,11,11,16,13,14,13,11,18,15, 4   , 10  , 12  , 14  ,11,8, 14  , 14  , 6   , 6   , 10  ,18, 6   ,11,18, ST                       ,16.75,45.994473,29.24447250366211
 Calvin Page               ,7,7,9,7,11,10,8,5,11,6,2,12,7,7,3,8,10,8,7,3,13,12, 8   , 7   , 8   , 11  ,7,3, 11  , 5   , 2   , 3   , 8   ,6, 1   ,11,17, ST                                 ,0.09,0.19525766,0.10525766372680664
 Jerome Kiesewetter        ,12,8,5,9,15,10,5,4,4,7,9,8,6,8,6,6,11,3,7,5,9,8, 3   , 7   , 12  , 7   ,10,2, 7   , 5   , 5   , 1   , 8   ,8, 2   ,8,18," AM (R), ST                         ",0.07,0.24538517,0.17538516998291015
 Joel Campbell                   ,13,12,12,9,13,13,9,4,11,6,8,12,6,12,10,12,16,6,11,9,13,13, 9   , 10  , 12  , 8   ,11,9, 7   , 6   , 5   , 5   , 11  ,9, 4   ,12,19," AM (RL), ST         ",4.6000000000000005,1.2843299,-3.315670108795166
 Davide Ialongo              ,11,11,11,7,9,11,3,5,8,3,9,8,1,4,7,8,5,11,11,4,5,8, 7   , 3   , 6   , 11  ,10,5, 7   , 6   , 1   , 1   , 6   ,3, 1   ,5,17, ST                    ,0.011999999999999999,0.16228199,0.15028199005126952
 Alex Dovigo                 ,12,7,5,7,14,11,7,5,14,5,5,5,2,4,3,10,7,4,7,6,10,11, 4   , 6   , 8   , 8   ,9,8, 9   , 8   , 1   , 2   , 8   ,8, 3   ,5,16, ST                    ,0.01,0.13240576,0.12240575790405273
 Riccardo Saponara           ,12,12,12,8,13,12,12,4,6,8,4,9,11,10,10,9,15,1,8,8,8,12, 7   , 11  , 12  , 12  ,11,5, 11  , 5   , 1   , 5   , 10  ,8, 5   ,11,19," AM (RL), ST           ",1.7000000000000002,1.247325,-0.45267505645751965
 Dylan Balinghien                ,9,12,12,10,7,12,7,12,13,4,6,7,7,6,4,10,11,12,12,1,9,12, 9   , 6   , 8   , 8   ,12,7, 9   , 3   , 3   , 1   , 6   ,9, 1   ,7,16, ST                  ,0.10999999999999999,0.8777952,0.7677952194213867
 Luca Minelli                ,11,10,8,7,6,10,4,2,11,7,1,8,9,5,5,6,15,4,7,2,7,8, 7   , 5   , 5   , 8   ,8,7, 5   , 5   , 1   , 5   , 3   ,7, 1   ,6,19, ST                    ,0.005,0.07479191,0.06979190826416015
 Burak Korkmaz           ,11,6,6,8,12,7,5,7,9,4,5,12,4,6,6,10,11,9,12,5,7,9, 8   , 3   , 8   , 10  ,10,8, 12  , 6   , 1   , 2   , 10  ,8, 2   ,12,17, ST                          ,0.016,0.2086997,0.19269970321655272
 Enrico Kern             ,10,10,13,14,11,10,13,13,12,12,13,11,12,13,12,14,11,14,12,12,13,11, 7   , 10  , 12  , 15  ,13,10, 15  , 12  , 9   , 6   , 11  ,11, 8   ,12,32, ST                          ,0.35000000000000003,4.099505,3.749504947662353
 Will Keane            ,10,11,8,9,17,12,8,8,4,10,5,12,11,12,10,16,14,4,12,4,11,10, 5   , 4   , 6   , 14  ,12,7, 9   , 6   , 2   , 4   , 11  ,15, 4   ,13,18, ST                       ,1.2,2.3831391,1.1831391334533692
 Pierre-Michel Lasogga     ,10,7,12,15,10,15,13,18,14,16,18,15,11,7,13,18,5,9,14,9,12,18, 4   , 5   , 7   , 13  ,7,6, 12  , 10  , 3   , 4   , 7   ,12, 6   ,8,19, ST                                 ,5.25,16.402445,11.152444839477539
 Phil Airey            ,14,10,10,9,13,15,14,8,9,9,10,9,6,3,4,12,5,8,10,4,9,13, 4   , 6   , 7   , 8   ,5,7, 8   , 4   , 6   , 3   , 7   ,7, 7   ,5,19, ST                       ,0.8500000000000001,0.69033384,-0.1596661567687989
 Kane Richards        ,12,9,8,7,11,10,5,3,12,7,2,4,8,8,3,8,8,4,8,4,7,10, 6   , 4   , 7   , 10  ,8,8, 7   , 5   , 1   , 1   , 2   ,2, 2   ,9,17," AM (R), ST             ",0.007,0.078845024,0.07184502410888671
 Yannick Djal¢                   ,16,14,10,7,16,15,12,11,10,10,11,7,9,9,8,14,16,10,15,8,9,12, 11  , 12  , 14  , 11  ,12,9, 6   , 11  , 7   , 7   , 10  ,10, 7   ,14,25," AM (RL), ST         ",5.0,7.1801805,2.180180549621582
 Said Benkarit             ,12,8,8,9,4,11,8,9,12,8,5,4,5,5,7,10,11,5,9,2,11,12, 5   , 4   , 5   , 12  ,12,8, 12  , 10  , 1   , 8   , 8   ,5, 2   ,12,16, ST                                 ,0.3,0.82133055,0.5213305473327636
 Pascal Pireddu                  ,12,12,13,12,13,11,7,11,13,10,10,5,6,7,7,10,11,1,13,5,8,11, 5   , 7   , 12  , 11  ,11,5, 14  , 8   , 2   , 3   , 8   ,7, 3   ,13,18, ST                  ,0.775,1.5707612,0.7957612037658691
 Riccardo Portaluppi          ,9,10,9,7,13,5,2,2,12,4,9,3,2,1,12,6,2,1,1,7,1,1, 1   , 3   , 6   , 9   ,7,2, 12  , 4   , 1   , 1   , 4   ,7, 4   ,4,19, ST                     ,0.09,0.033493042,-0.0565069580078125
 Robert Maah                 ,15,13,12,8,11,14,11,11,8,9,9,9,9,5,7,11,11,7,13,4,5,7, 6   , 6   , 11  , 10  ,11,7, 6   , 7   , 7   , 2   , 5   ,13, 2   ,11,26, ST                    ,0.16,2.317264,2.1572640800476073
 Riccardo De Luca            ,12,6,4,8,15,9,5,2,8,4,1,10,2,5,3,5,13,2,6,3,8,8, 8   , 6   , 7   , 11  ,7,8, 12  , 7   , 1   , 1   , 3   ,5, 1   ,6,18, ST                    ,0.002,0.05147457,0.04947457122802735
 Taye Taiwo                   ,17,14,17,12,18,16,18,16,13,14,16,12,11,9,11,16,12,15,13,12,13,16, 7   , 11  , 13  , 15  ,14,12, 15  , 12  , 7   , 7   , 13  ,15, 8   ,13,27, ST                     ,5.25,49.622818,44.372817039489746
 Pablo G llego           ,11,8,9,4,13,11,6,2,3,8,6,8,2,6,4,10,12,10,7,1,7,10, 7   , 7   , 10  , 7   ,7,7, 5   , 8   , 1   , 3   , 8   ,3, 1   ,9,17," AM (RLC), ST        ",0.014,0.17626047,0.16226047134399416
 Maikel Santovenia       ,11,8,9,6,5,11,6,2,11,3,2,11,6,1,2,8,11,9,11,4,5,9, 3   , 1   , 9   , 6   ,10,4, 11  , 2   , 1   , 3   , 11  ,4, 1   ,8,18, ST                         ,0.09,0.08562088,-0.004379119873046868
 Eugenio Giannetti            ,10,12,14,11,7,14,10,6,7,11,9,8,6,7,4,9,6,5,3,14,13,13, 7   , 5   , 9   , 8   ,7,5, 7   , 5   , 1   , 2   , 3   ,3, 1   ,9,17, ST                     ,0.045,0.44782877,0.4028287696838379
